t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
0,2.69994363033017,0.0268605864045001,1,0.999998729611243,-0.00135500105103333,-1.02586849429787e-05,0.000839430051327788,-0.000112361221346089,0.0267689891720589,6.69270001476551e-18,-0.00267230196319712,-4.0754065104444e-05,0.00167320658658854,-0.0002235923131414,0.0265850155184708,6.64760596452406e-18,0,0,0
0.1,2.69993119847286,0.0296748876670649,1,0.999998451913375,-0.00149531355439517,-1.25104341993123e-05,0.000927389732371667,-0.000137093247313668,0.0295629107061834,7.3913379245483e-18,-0.00294449717756189,-4.96639476164462e-05,0.00184787707188679,-0.00027266336655526,0.0293379100933257,7.33629921252722e-18,0,0,0
0.2,2.69991603107029,0.03278280117257,1,0.999998113980256,-0.00164989185103186,-1.52539530289735e-05,0.00102452922223105,-0.000167250584522887,0.0326458981111778,8.16229699221376e-18,-0.00324332967988149,-6.05074581949715e-05,0.00204063167749668,-0.000332448714656715,0.0323706866917513,8.09512558432296e-18,0,0,0
0.3,2.69989752833902,0.036214677401962,1,0.999997702911516,-0.00182012583013787,-1.85957830202505e-05,0.00113179850233487,-0.000204016926781587,0.0360472836433548,9.01292920977342e-18,-0.00357115059845015,-7.36993152516711e-05,0.00225330973176389,-0.000405268618051908,0.0357106104534938,8.93095744087222e-18,0,0,0
0.4,2.69987495973755,0.0400039402874509,1,0.999997203102674,-0.00200752652380019,-2.26652522560625e-05,0.00125024412479791,-0.000248832000380045,0.0397992436609071,9.95130411653647e-18,-0.00393045545837811,-8.97415009223561e-05,0.0024879304104791,-0.000493939190826794,0.0393873217749189,9.85128017894501e-18,0,0,0
0.5,2.69984743571895,0.0441873837309046,1,0.999996595699365,-0.00221373311972915,-2.76192472717609e-05,0.0013810186577744,-0.000303446174298599,0.043937043073682,1.09862721445908e-17,-0.00432387560964966,-0.000109241049536861,0.00274670873207327,-0.000601876083031836,0.0434329733516602,1.08642330245307e-17,0,0,0
0.6,2.6998138734707,0.0488054932355457,1,0.999995857949077,-0.00244051938623938,-3.3647949660044e-05,0.00152539097604136,-0.000369986452956936,0.0484992929644448,1.21275320148693e-17,-0.00475416320972296,-0.000132931268047469,0.00303207261990517,-0.000733219055222266,0.047882355498601,1.19786490886513e-17,0,0,0
0.7,2.69977295539277,0.0539027938980255,1,0.999994962434017,-0.00268979913796811,-4.09817204928039e-05,0.00168475745585377,-0.000451036132500088,0.0535282198579625,1.33857020566634e-17,-0.00522416778393433,-0.000161696984960941,0.00334668101836909,-0.000892981382602351,0.0527730023914295,1.3204093569708e-17,0,0,0
0.8,2.69972307881608,0.0595282258153605,1,0.999993876167218,-0.00296363025920426,-4.98993464667561e-05,0.00186065413360601,-0.000549730827119822,0.0590699442722394,1.47723951963326e-17,-0.00573680187927917,-0.000196604505703283,0.00369344302399391,-0.00108722867349756,0.0581452696608505,1.45508986652513e-17,0,0,0
0.9,2.69966229516873,0.0657355476723879,1,0.999992559532922,-0.00326421666168205,-6.07378961691179e-05,0.00205476988735691,-0.000669874065764797,0.0651747650956306,1.63002971983196e-17,-0.00629499270109642,-0.000238937036938585,0.00407553796032372,-0.00132329240630342,0.0640423709919377,1.60301933648752e-17,0,0,0
